,FID,Id,lat,lon
713,713,0,33.75,114.15
714,714,0,33.75,114.25
715,715,0,33.75,114.35
716,716,0,33.75,114.45
717,717,0,33.75,114.55
718,718,0,33.75,114.65
719,719,0,33.75,114.75
720,720,0,33.75,114.85
721,721,0,33.75,114.95
722,722,0,33.75,115.05
723,723,0,33.75,115.15
724,724,0,33.75,115.25
725,725,0,33.75,115.35
726,726,0,33.75,115.45
727,727,0,33.75,115.55
728,728,0,33.75,116.15
729,729,0,33.75,116.25
730,730,0,33.85,110.75
731,731,0,33.85,110.85
732,732,0,33.85,110.95
733,733,0,33.85,111.05
734,734,0,33.85,111.15
735,735,0,33.85,111.25
736,736,0,33.85,111.35
737,737,0,33.85,111.45
738,738,0,33.85,111.55
739,739,0,33.85,111.65
740,740,0,33.85,111.75
741,741,0,33.85,111.85
742,742,0,33.85,111.95
743,743,0,33.85,112.05
744,744,0,33.85,112.15
745,745,0,33.85,112.25
746,746,0,33.85,112.35
747,747,0,33.85,112.45
748,748,0,33.85,112.55
749,749,0,33.85,112.65
750,750,0,33.85,112.75
751,751,0,33.85,112.85
752,752,0,33.85,112.95
753,753,0,33.85,113.05
754,754,0,33.85,113.15
755,755,0,33.85,113.25
756,756,0,33.85,113.35
757,757,0,33.85,113.45
758,758,0,33.85,113.55
759,759,0,33.85,113.65
760,760,0,33.85,113.75
761,761,0,33.85,113.85
762,762,0,33.85,113.95
763,763,0,33.85,114.05
764,764,0,33.85,114.15
765,765,0,33.85,114.25
766,766,0,33.85,114.35
767,767,0,33.85,114.45
768,768,0,33.85,114.55
769,769,0,33.85,114.65
770,770,0,33.85,114.75
771,771,0,33.85,114.85
772,772,0,33.85,114.95
773,773,0,33.85,115.05
774,774,0,33.85,115.15
775,775,0,33.85,115.25
776,776,0,33.85,115.35
777,777,0,33.85,115.45
778,778,0,33.85,115.55
779,779,0,33.85,116.15
780,780,0,33.85,116.25
781,781,0,33.85,116.35
782,782,0,33.95,110.75
783,783,0,33.95,110.85
784,784,0,33.95,110.95
785,785,0,33.95,111.05
786,786,0,33.95,111.15
787,787,0,33.95,111.25
788,788,0,33.95,111.35
